gu,X,Y
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04221,37.516434
Gangnamgu,127.04221,37.516434
Gangnamgu,127.04221,37.516434
Gangnamgu,127.04221,37.51626
Gangnamgu,127.04221,37.51626
Gangnamgu,127.04221,37.51626
Gangnamgu,127.04221,37.51626
Gangnamgu,127.04221,37.51626
Gangnamgu,127.04221,37.51626
Gangnamgu,127.04221,37.51626
Gangnamgu,127.04221,37.51626
Gangnamgu,127.04221,37.51626
Gangnamgu,127.04221,37.51626
Gangnamgu,127.04221,37.51626
Gangnamgu,127.04601,37.511154
Gangnamgu,127.04601,37.511154
